t,y
1.562,1.643
1.562,1.643
1.564,1.643
1.565,1.642
1.566,1.642
1.567,1.642
1.567,1.641
1.569,1.641
1.570,1.641
1.571,1.640
1.572,1.640
1.572,1.639
1.574,1.639
1.575,1.639
1.576,1.638
1.577,1.638
1.577,1.638
1.579,1.637
1.580,1.637
1.581,1.637
1.582,1.636
1.582,1.636
1.584,1.636
1.585,1.635
1.585,1.635
1.587,1.635
1.588,1.634
1.589,1.634
1.590,1.634
1.590,1.633
1.592,1.633
1.593,1.633
1.594,1.632
1.595,1.632
1.595,1.632
1.597,1.631
1.598,1.631
1.599,1.631
1.600,1.630
1.600,1.630
1.602,1.630
1.603,1.629
1.604,1.629
1.605,1.629
1.605,1.628
1.607,1.628
1.608,1.628
1.608,1.627
1.610,1.627
1.610,1.627
1.612,1.626
1.613,1.626
1.613,1.625
1.615,1.625
1.616,1.625
1.617,1.624
1.618,1.624
1.618,1.624
1.620,1.623
1.621,1.623
1.622,1.623
1.623,1.622
1.623,1.622
1.625,1.622
1.626,1.621
1.627,1.621
1.628,1.621
1.628,1.620
1.630,1.620
1.631,1.620
1.632,1.619
1.633,1.619
1.633,1.619
1.635,1.618
1.636,1.618
1.636,1.618
1.638,1.617
1.639,1.617
1.640,1.617
1.641,1.616
1.641,1.616
1.643,1.616
1.644,1.615
1.645,1.615
1.646,1.615
1.646,1.614
1.648,1.614
1.649,1.614
1.650,1.613
1.651,1.613
1.651,1.613
1.653,1.612
1.654,1.612
1.655,1.612
1.656,1.611
1.656,1.611
1.658,1.611
1.659,1.610
1.659,1.610
1.661,1.610
1.661,1.609
1.663,1.609
1.664,1.609
1.664,1.608
1.666,1.608
1.667,1.608
1.668,1.608
1.669,1.607
1.669,1.607
1.671,1.607
1.672,1.606
1.673,1.606
1.674,1.606
1.674,1.605
1.676,1.605
1.677,1.605
1.678,1.604
1.679,1.604
1.679,1.604
1.681,1.603
1.682,1.603
1.682,1.603
1.684,1.602
1.684,1.602
1.686,1.602
1.687,1.601
1.687,1.601
1.689,1.601
1.690,1.600
1.691,1.600
1.692,1.600
1.692,1.599
1.694,1.599
1.695,1.599
1.696,1.598
1.697,1.598
1.697,1.598
1.699,1.597
1.700,1.597
1.701,1.597
1.702,1.596
1.702,1.596
1.704,1.596
1.705,1.595
1.706,1.595
1.707,1.595
1.707,1.595
1.709,1.594
1.710,1.594
1.710,1.594
1.712,1.593
1.713,1.593
1.714,1.593
1.715,1.592
1.715,1.592
1.717,1.592
1.718,1.591
1.719,1.591
1.720,1.591
1.720,1.590
1.722,1.590
1.723,1.590
1.724,1.589
1.725,1.589
1.725,1.589
1.727,1.588
1.728,1.588
1.729,1.588
1.730,1.587
1.730,1.587
1.732,1.587
1.733,1.587
1.733,1.586
1.735,1.586
1.735,1.586
1.737,1.585
1.738,1.585
1.738,1.585
1.740,1.584
1.741,1.584
1.742,1.584
1.743,1.583
1.743,1.583
1.745,1.583
